Datetime,Tweet Id,Text,Username,lang
2021-12-15 22:44:15+00:00,1471249774733049870,"The Mars Perseverance rover's latest finding suggests that the bedrock it has been driving over since landing was once formed by magma, something that was ""completely unexpected,"" according to mission scientists. https://t.co/7NdGeHounv",CNN,en
2021-12-15 22:30:10+00:00,1471246230210629632,The crowds are back and so are we! Who’s excited for New Year’s Eve with @AndersonCooper and @Andy?! The celebration starts at 8 p.m. ET! #CNNNYE https://t.co/An6LmYy0DE,CNN,en
2021-12-15 22:12:13+00:00,1471241713700249607,The New York Police Department is searching for a man it says may be connected to scribbling swastikas on a pillar of City Hall as well as the Charging Bull statue near Wall Street. https://t.co/4m9dpIVuxB,CNN,en
2021-12-15 22:01:06+00:00,1471238916065964033,The CDC's vaccine advisers will meet on Thursday to revisit the benefits and risks for the Johnson &amp; Johnson Covid-19 vaccine. https://t.co/0gE1biPDiG,CNN,en
2021-12-15 21:46:44+00:00,1471235302316515333,"Americans bought substantially more hard liquor and wine, but less beer, during the early days of the pandemic, while some states' residents binged on both, according to sales data. https://t.co/plHh2W0iMj",CNN,en
2021-12-15 21:32:38+00:00,1471231750722539525,"bell hooks ⁠— the beloved poet, author, feminist and professor ⁠— has died, announced Berea College, the university at which she taught. She was 69. https://t.co/IY9KGHbA7f",CNN,en
2021-12-15 21:16:05+00:00,1471227585715744770,A significant rise in Covid-19 cases and concerns over the fast-spreading Omicron variant is forcing at least four more colleges and universities to move the last days of the fall semester online ⁠— including final exams. https://t.co/zZOwT0wmFk,CNN,en
2021-12-15 21:00:18+00:00,1471223616540921857,"The Covid-19 pandemic, entering its third year with 800,000 people dead in the US alone, could damage the health industry for years to come, doctors predict. 
https://t.co/mpQG0jqihd",CNN,en
2021-12-15 20:46:01+00:00,1471220020948647941,"Months after he was convicted of murder, former Minneapolis police officer Derek Chauvin pleaded guilty in federal court to civil rights charges related to the death of George Floyd. https://t.co/ZTTDqnG2Jf",CNN,en
2021-12-15 20:30:14+00:00,1471216046547906569,"Musk, who has never shied from a Twitter war, replied with a string of insults. https://t.co/EHvJ0mn1ii",CNN,en
2021-12-15 20:15:10+00:00,1471212256314728457,A handful of airports across the United States have introduced programs that let you reserve a spot in the TSA line for free. https://t.co/B33V7lWxsj,CNN,en
2021-12-15 20:00:13+00:00,1471208492757393410,"""This totally tastes like home,"" @donlemon, a Louisiana native, said. ""This is a recipe that's going to put a little meat on your bones and give you some booty."" https://t.co/8KCxYz9Fqi https://t.co/UtXKb4L0Ne",CNN,en
2021-12-15 19:45:07+00:00,1471204694743728135,The Federal Reserve will wrap up its pandemic-era stimulus program faster and expects to raise interest rates more in 2022 than projected in September. https://t.co/6rsquKPW9k,CNN,en
2021-12-15 19:30:16+00:00,1471200958185152520,"One of the more insidious myths this year was that young people didn't want to work because they were getting by just fine on government aid. People had too much money, went the narrative. The only trouble is, the numbers don't back it up. https://t.co/Tp9Q5auRxk",CNN,en
2021-12-15 19:15:07+00:00,1471197145235607563,"From a biopic about a beloved singer to a film set in a galaxy far, far away, the annual selection of motion pictures to be inducted into the National Film Registry of the Library of Congress is wide ranging. https://t.co/38Vu8uWGVi",CNN,en
