Datetime,Tweet Id,Text,Username,lang
2021-12-12 04:01:05+00:00,1469879958499692548,Giggling foxes charm the internet https://t.co/1JfDEBfjel https://t.co/T0wagcS3NI,CNN,en
2021-12-12 02:06:45+00:00,1469851185029029891,"University of Alabama quarterback Bryce Young wins the Heisman Trophy for the 2021 college football season
https://t.co/oYtAEbV7z5 https://t.co/njI4XdgBXX",CNN,en
2021-12-12 00:31:12+00:00,1469827139134529539,"Videos of a life-like robot, known as Ameca, have gone viral online. https://t.co/NTdZwoPHv2 https://t.co/cHOJvk44ZA",CNN,en
2021-12-12 00:00:07+00:00,1469819315776073732,The bishop of Noto in Sicily stunned schoolchildren last week when he dropped a bombshell during an arts festival -- telling them Father Christmas wasn't real. https://t.co/JC15W7ngTb,CNN,en
2021-12-11 23:15:05+00:00,1469807982024314882,Now more than ever the world needs Heroes. Watch the 15th Annual CNN Heroes All-Star Tribute Sunday at 8 p.m. ET to find out who wins the 2021 CNN Hero of the Year! #CNNHeroes https://t.co/wDgYlNmOeZ,CNN,en
2021-12-11 22:30:11+00:00,1469796684775501825,"“All of the information to stop the 9/11 attack existed inside the US government before 9/11.” 

On the latest Axe Files with @DavidAxelrod, @StanMcChrystal talks about how and where the US failed to act on the threat of 9/11.  

Listen to the podcast. https://t.co/exkdGbvA9k",CNN,en
2021-12-11 22:30:10+00:00,1469796677213110273,"The anonymous painting, described in a statement by the Department for Digital, Culture, Media &amp; Sport (DCMS) on Friday as ""extremely rare,"" is valued at £272,800 ($362,060).
https://t.co/MrZYqQwzPk",CNN,en
2021-12-11 21:30:08+00:00,1469781569917407232,"Total destruction in Kentucky after tornado. At least 70 deaths are feared, the governor says. https://t.co/bDDqIPMwpi https://t.co/8svlT32LVs",CNN,en
2021-12-11 20:30:07+00:00,1469766469215002630,"A New York family who came together by chance 21 years ago has now shared their remarkable story in a children's book.
https://t.co/APrWIT5VqV",CNN,en
2021-12-11 19:30:04+00:00,1469751354776338432,"""I'm gonna say something for the first time in a long time -- I have not had a drink of alcohol in two-and-a-half years,"" she told the hosts of ""CBS This Morning."" ""It was something that I realized just did not serve me and my life.""
https://t.co/zwdlFKVFMW",CNN,en
2021-12-11 18:31:05+00:00,1469736512518508552,"After learning that her favorite Dunkin' employee had been evicted, an Ohio woman worked with several organizations to find a new home and furniture for the woman and her children, just in time for the holidays. https://t.co/KMLbzNtKQV https://t.co/wD78WzAPqt",CNN,en
2021-12-11 17:49:01+00:00,1469725923658416130,"New NYC legislation will allow non-citizens to vote in local elections.

Christopher Arps, president of Americans for Citizen Voting, opposes the move. “We're not anti-immigrant. We're more for voter integrity,” he tells @smerconish. https://t.co/tL06cfD2Px https://t.co/aAxf5BD3nM",CNN,en
2021-12-11 17:36:28+00:00,1469722768077897735,"Using the physician title before Dr. Oz’s name goes against the Philadelphia Inquirer’s style guide, the paper’s grammarian columnist Jeffrey Barg tells @smerconish.
Oz, who is running for Senate in Pennsylvania, said he “won’t be canceled” in response, which Barg calls “absurd.” https://t.co/hgUWuNFnd2",CNN,en
2021-12-11 17:31:03+00:00,1469721402144083968,"TikTok has released its top trends list of 2021, and it's full of drones, bones and joyful tones. These are the most popular TikToks in the US this year. https://t.co/MC9Rf3OMA0 https://t.co/KiHeuHPHtk",CNN,en
2021-12-11 17:30:09+00:00,1469721177190977557,This weekend either Lewis Hamilton or Max Verstappen will be crowned the Formula One world champion. https://t.co/cla0yPaxaT,CNN,en
2021-12-11 17:20:06+00:00,1469718650181632005,"Jeff Bezos’ rocket company, Blue Origin, sent Good Morning America host Michael Strahan, the daughter of famed astronaut Alan Shepard, and four paying customers on a supersonic joy ride to the edge of space Saturday morning. https://t.co/YfEei0I5Ua https://t.co/r3atCLvJGN",CNN,en
2021-12-11 16:00:21+00:00,1469698578322964484,Who will be this year’s CNN Hero of the Year? Watch the 15th Annual CNN Heroes All-Star Tribute Sunday at 8 p.m. ET to find out LIVE! #CNNHeroes https://t.co/2LENnkL6Mj,CNN,en
2021-12-11 15:49:54+00:00,1469695946900529164,"President Joe Biden lamented hyper-partisanship in Washington in his first late-night interview since taking office, saying that while he used to have a cordial relationship with Republicans, ""the Big Lie ... makes it awful hard."" https://t.co/vFcckdOGPl",CNN,en
2021-12-11 15:16:33+00:00,1469687554471608322,"""Good Morning America"" host Michael Strahan, the daughter of famed astronaut Alan Shepard, and four paying customers have landed back on earth following their 10-minute flight into space aboard the Blue Origin flight. https://t.co/F8mZQH292c https://t.co/YYYGVbpI6m",CNN,en
2021-12-11 15:06:35+00:00,1469685048806985738,"LIVE NOW: Michael Strahan goes to space on Blue Origin mission https://t.co/EwWlZJAk57

WATCH LIVE: https://t.co/7mwfOaveyq https://t.co/Dxzr27H2VY",CNN,en
2021-12-11 14:43:31+00:00,1469679240895414272,"President Biden “just received a double whammy, and the result might cost him a last chance to pass his massive social spending bill before the end of the year.” 

@smerconish discusses the potential political fallout of inflation. https://t.co/x4Pb3K8oQ0",CNN,en
2021-12-11 14:37:01+00:00,1469677608459816962,"A morning show host, the daughter of the first US astronaut, and four paying customers are going to space today. 

Follow updates: https://t.co/gYwMc3oQLI

Stream live: https://t.co/Oin8gSff7I https://t.co/FsQ0Vnk4Fr",CNN,en
2021-12-11 14:20:06+00:00,1469673351530565644,"The US Marshals Service announced the end of a 26-long-week, multiagency crime sweep, resulting in the arrest of more than 350 people on the Gulf Coast. https://t.co/ka33YWAnf4",CNN,en
2021-12-11 14:01:06+00:00,1469668569147490308,"Bad news for American consumers: It's getting more expensive to dine out, and it's getting more expensive to eat at home. https://t.co/D1VT8EfBXM",CNN,en
2021-12-11 13:30:27+00:00,1469660853200986114,Here's how to watch GMA host Michael Strahan rocket to the edge of space. https://t.co/J841qgvRVe,CNN,en
2021-12-11 13:25:05+00:00,1469659503394234371,"At least 30 tornadoes were reported overnight across Arkansas, Illinois, Kentucky, Missouri, Mississippi and Tennessee

Follow for live updates.
https://t.co/2H09n33PXH",CNN,en
2021-12-11 11:31:05+00:00,1469630815848091653,"""If you're on this call, you are part of the unlucky group that is being laid off.""

https://t.co/bmtdxpWtto CEO Vishal Garg laid off more than 900 employees on a Zoom webinar just before the holidays. https://t.co/bLcxZ5aqJ8 https://t.co/YAbJHHm99O",CNN,en
2021-12-11 11:01:04+00:00,1469623262980231171,"Deqa Dhalac is the new mayor of South Portland, Maine. She's making history as the city's first Black mayor, and she's believed to be the first Somali American mayor in the United States. https://t.co/6FrVUkXnP0",CNN,en
2021-12-11 11:00:09+00:00,1469623032666857472,"How can we find strength and perspective in the face of unexpected obstacles? For one traumatic brain injury patient, the answer was to treat her car accident as inevitable.

Listen to this week's episode of Chasing Life. https://t.co/24W6mvR0UE https://t.co/2IiO0vSfYi",CNN,en
2021-12-11 10:01:02+00:00,1469608153776074757,"The coronavirus pandemic has worsened the massive financial gap between rich and poor around the world, a new report has found. As millions fell into poverty, billionaires' wealth soared. https://t.co/dtHnlG8RGg",CNN,en
2021-12-11 09:31:05+00:00,1469600618373423105,"Videos of a life-like robot, known as Ameca, have gone viral online. https://t.co/8qq2GJlXvC https://t.co/Jpa11tZvnq",CNN,en
